"zone_name","region_name","district_name","friction_file","min_friction","max_friction","non_na_cells"
"Banadir","Banadir","Karan","data/friction/district_standardized/banadir__banadir__karan__friction_100m.tif",3.49061369895935,5.98781061172485,1348
"Banadir","Banadir","Kahda","data/friction/district_standardized/banadir__banadir__kahda__friction_100m.tif",3.37393808364868,5.97070264816284,2888
"Banadir","Banadir","Danyile","data/friction/district_standardized/banadir__banadir__danyile__friction_100m.tif",3.8298442363739,5.96796798706055,7833
"Banadir","Banadir","Shibis","data/friction/district_standardized/banadir__banadir__shibis__friction_100m.tif",4.31121492385864,5.69999980926514,104
"Banadir","Banadir","Hodan","data/friction/district_standardized/banadir__banadir__hodan__friction_100m.tif",4.09235954284668,5.97838354110718,826
"Banadir","Banadir","Abdul Aziz","data/friction/district_standardized/banadir__banadir__abdul_aziz__friction_100m.tif",2.57710289955139,5.94173574447632,242
"Banadir","Banadir","Hawal Wadag","data/friction/district_standardized/banadir__banadir__hawal_wadag__friction_100m.tif",4.19718885421753,5.7165002822876,301
"Banadir","Banadir","Madina","data/friction/district_standardized/banadir__banadir__madina__friction_100m.tif",3.54437899589539,1e+06,2786
"Banadir","Banadir","Hamar Weyn","data/friction/district_standardized/banadir__banadir__hamar_weyn__friction_100m.tif",3.77188491821289,5.69751119613647,63
"Banadir","Banadir","Bondere","data/friction/district_standardized/banadir__banadir__bondere__friction_100m.tif",3.96045327186584,5.74702930450439,159
"Banadir","Banadir","Waberi","data/friction/district_standardized/banadir__banadir__waberi__friction_100m.tif",3.53716850280762,1e+06,699
"Jubaland State","Lower Juba","Hagar","data/friction/district_standardized/jubaland_state__lower_juba__hagar__friction_100m.tif",0.474999994039536,1e+06,205671
"Galmudug State","Galgadud","Galinsoor","data/friction/district_standardized/galmudug_state__galgadud__galinsoor__friction_100m.tif",0.5,1e+06,194484
"Galmudug State","Galgadud","El Dhere","data/friction/district_standardized/galmudug_state__galgadud__el_dhere__friction_100m.tif",0.460109442472458,1e+06,270260
"Somaliland","Marodijeh","Baligubadle","data/friction/district_standardized/somaliland__marodijeh__baligubadle__friction_100m.tif",0.687632739543915,1e+06,358802
"Puntland","Bari","Alula","data/friction/district_standardized/puntland__bari__alula__friction_100m.tif",0.5,1e+06,191092
"Puntland","Bari","Bargaal","data/friction/district_standardized/puntland__bari__bargaal__friction_100m.tif",0.5,1e+06,179969
"Puntland","Bari","Bossaso","data/friction/district_standardized/puntland__bari__bossaso__friction_100m.tif",0.5,1e+06,376003
"Puntland","Bari","Iskushuban","data/friction/district_standardized/puntland__bari__iskushuban__friction_100m.tif",0.474999994039536,1e+06,370438
"Puntland","Bari","Qandala","data/friction/district_standardized/puntland__bari__qandala__friction_100m.tif",0.474999994039536,1e+06,360652
"Puntland","Bari","Ufeyn","data/friction/district_standardized/puntland__bari__ufeyn__friction_100m.tif",0.5,82.5192108154297,163108
"South West State","Bakol","Wajid","data/friction/district_standardized/south_west_state__bakol__wajid__friction_100m.tif",0.5,1e+06,344634
"South West State","Bakol","Tiyeglo","data/friction/district_standardized/south_west_state__bakol__tiyeglo__friction_100m.tif",0.474999994039536,1e+06,401604
"South West State","Bakol","Hudur","data/friction/district_standardized/south_west_state__bakol__hudur__friction_100m.tif",0.5,1e+06,420362
"South West State","Bakol","Rabdure","data/friction/district_standardized/south_west_state__bakol__rabdure__friction_100m.tif",0.5,1e+06,243619
"South West State","Bakol","El Barde","data/friction/district_standardized/south_west_state__bakol__el_barde__friction_100m.tif",0.5,1e+06,316114
"Somaliland","Awdal","Baki","data/friction/district_standardized/somaliland__awdal__baki__friction_100m.tif",0.5,1e+06,191952
"Somaliland","Togdheer","Burao","data/friction/district_standardized/somaliland__togdheer__burao__friction_100m.tif",0.5,1e+06,1361008
"Puntland","Mudug","Galkayu North","data/friction/district_standardized/puntland__mudug__galkayu_north__friction_100m.tif",0.720775663852692,1e+06,409941
"South West State","Lower Shabelle","Awdheegle","data/friction/district_standardized/south_west_state__lower_shabelle__awdheegle__friction_100m.tif",0.474999994039536,1e+06,264595
"Banadir","Banadir","Dharkenly","data/friction/district_standardized/banadir__banadir__dharkenly__friction_100m.tif",3.14390063285828,5.961838722229,1835
"Hir-Shabelle State","Middle Shabelle","Raga Elle","data/friction/district_standardized/hir_shabelle_state__middle_shabelle__raga_elle__friction_100m.tif",0.687448799610138,1e+06,86329
"Jubaland State","Gedo","Garbaharey","data/friction/district_standardized/jubaland_state__gedo__garbaharey__friction_100m.tif",0.662010014057159,1e+06,353961
"Jubaland State","Gedo","Dolo","data/friction/district_standardized/jubaland_state__gedo__dolo__friction_100m.tif",0.728314578533173,1e+06,36022
"Puntland","Karkar","Bender Bayla","data/friction/district_standardized/puntland__karkar__bender_bayla__friction_100m.tif",0.5,1e+06,413756
"Puntland","Karkar","Gardo","data/friction/district_standardized/puntland__karkar__gardo__friction_100m.tif",0.5,1e+06,567126
"Puntland","Karkar","Hafun","data/friction/district_standardized/puntland__karkar__hafun__friction_100m.tif",0.474999994039536,1e+06,133070
"Puntland","Karkar","Rako","data/friction/district_standardized/puntland__karkar__rako__friction_100m.tif",0.5,1e+06,147906
"Puntland","Karkar","Waciya","data/friction/district_standardized/puntland__karkar__waciya__friction_100m.tif",0.5,1e+06,181864
"Jubaland State","Gedo","Gedwein","data/friction/district_standardized/jubaland_state__gedo__gedwein__friction_100m.tif",0.578348577022552,1e+06,114228
"Jubaland State","Lower Juba","Jilib West","data/friction/district_standardized/jubaland_state__lower_juba__jilib_west__friction_100m.tif",0.474999994039536,1e+06,62992
